time,ignore,gyro,enc1,enc2
1501552636402, 7.500000000000001E-5, 1.5000000000000001E-4, 0.0, -5.0 
1501552636427, -1.375E-4, -1.375E-4, 0.0, -5.0 
1501552636442, -0.103075, -0.103075, 4.0, -40.0 
1501552636462, -0.31598750000000003, -0.31598750000000003, 17.0, -69.0 
1501552636482, -0.29528750000000004, -0.29528750000000004, 43.0, -95.0 
1501552636505, -0.27208750000000004, -0.27208750000000004, 80.0, -141.0 
1501552636521, -0.2217375, -0.2217375, 107.0, -180.0 
1501552636542, -0.038462500000000004, -0.038462500000000004, 136.0, -229.0 
1501552636561, 0.137875, 0.137875, 148.0, -275.0 
1501552636582, 0.314475, 0.314475, 172.0, -325.0 
1501552636601, 0.37665000000000004, 0.37665000000000004, 176.0, -380.0 
1501552636621, 0.3801375000000001, 0.3801375000000001, 189.0, -439.0 
1501552636642, 0.33775, 0.33775, 193.0, -504.0 
1501552636661, 0.21741250000000004, 0.21741250000000004, 196.0, -560.0 
1501552636681, 0.0651, 0.0651, 203.0, -625.0 
1501552636704, -0.10300000000000001, -0.10300000000000001, 209.0, -695.0 
1501552636721, -0.22276250000000003, -0.22276250000000003, 224.0, -752.0 
1501552636743, -0.34603750000000005, -0.34603750000000005, 228.0, -827.0 
1501552636761, -0.37675000000000003, -0.37675000000000003, 237.0, -887.0 
1501552636781, -0.328975, -0.328975, 241.0, -939.0 
1501552636805, -0.17078750000000004, -0.17078750000000004, 261.0, -975.0 
1501552636821, -0.047262500000000006, -0.037700000000000004, 280.0, -1021.0 
1501552636841, 0.15882500000000002, 0.15882500000000002, 306.0, -1070.0 
1501552636861, 0.39942500000000003, 0.39942500000000003, 369.0, -1144.0 
1501552636881, 0.6725125000000001, 0.6725125000000001, 377.0, -1218.0 
1501552636903, 0.92135, 0.92135, 413.0, -1297.0 
1501552636922, 1.06265, 1.06265, 421.0, -1335.0 
1501552636941, 1.1604875, 1.1604875, 472.0, -1401.0 
1501552636961, 1.1995125, 1.1995125, 548.0, -1477.0 
1501552636981, 1.1943500000000002, 1.1943500000000002, 608.0, -1552.0 
1501552637001, 1.136925, 1.136925, 652.0, -1624.0 
1501552637021, 1.0227625, 1.0227625, 681.0, -1696.0 
1501552637041, 0.8789750000000001, 0.8789750000000001, 688.0, -1768.0 
1501552637062, 0.6432375000000001, 0.6432375000000001, 692.0, -1845.0 
1501552637081, 0.37607500000000005, 0.37607500000000005, 704.0, -1914.0 
1501552637102, 0.082375, 0.082375, 704.0, -1931.0 
1501552637121, -0.19197500000000003, -0.19197500000000003, 708.0, -1950.0 
1501552637141, -0.46438750000000006, -0.46438750000000006, 716.0, -1987.0 
1501552637161, -0.6467125000000001, -0.6467125000000001, 721.0, -2002.0 
1501552637182, -0.7887000000000001, -0.7887000000000001, 732.0, -2023.0 
1501552637204, -0.866375, -0.8665875000000001, 752.0, -2060.0 
1501552637221, -0.8562750000000001, -0.8562750000000001, 788.0, -2107.0 
1501552637241, -0.7601, -0.7601, 833.0, -2163.0 
1501552637261, -0.6071125, -0.6071125, 840.0, -2213.0 
1501552637281, -0.34740000000000004, -0.34740000000000004, 849.0, -2295.0 
1501552637303, -0.0011500000000000002, -0.0011500000000000002, 849.0, -2388.0 
1501552637321, 0.2963125, 0.2963125, 872.0, -2460.0 
1501552637341, 0.6728375000000001, 0.6728375000000001, 941.0, -2541.0 
1501552637361, 1.05705, 1.05705, 997.0, -2618.0 
1501552637381, 1.4327250000000002, 1.4327250000000002, 1039.0, -2697.0 
1501552637404, 1.8103125, 1.8103125, 1057.0, -2789.0
